"url,""Image"",""Name_surname"",""Details"",""ID"",""Degree"",""Date"",""Structure"",""More_details"",""More_details_link""";;;;;;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=4&offset=36,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=1036956755&image=mini"",""Lorenzo Balardinelli"",""Lorenzo Balardinelli"",""Fascicolo N.: 4547"; Laurea conferita: Medicina e Chirurgia; Data laurea: 31/10/2018; Struttura proponente: Archivio storico dell'Università di Bologna;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=1036956755""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=4&offset=36,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112444&image=mini"",""Antonio Baldisserotto"",""Antonio Baldisserotto"",""Fascicolo N.: 5352"; Laurea conferita: Agraria; Data laurea: 07/12/1946; Struttura proponente: Agraria;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112444""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=4&offset=36,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=131147&image=mini"",""Luigi Baldrati"",""Luigi Baldrati"",""Fascicolo N.: 1044"; Laurea conferita: Ingegneria; Data laurea: 09/01/1919; Struttura proponente: Ingegneria - R. Scuola d'Apllicazione per gli Ingegneri;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=131147""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=4&offset=36,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112644&image=mini"",""Geo Giorgio Ballestri"",""Geo Giorgio Ballestri"",""Fascicolo N.: 5912"; Laurea conferita: Ingegneria; Data laurea: 07/12/1946; Struttura proponente: Ingegneria;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112644""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=4&offset=36,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=111556&image=mini"",""Henry Baltes"",""Henry Baltes"",""Fascicolo N.: 238"; Laurea conferita: Ingegneria Elettronica; Data laurea: 26/05/2003; Struttura proponente: Ingegneria;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=111556""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=4&offset=36,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112140&image=mini"",""Lorenzo Martin-Retortillo Baquer"",""Lorenzo Martin-Retortillo Baquer"",""Fascicolo N.: 264"; Laurea conferita: Giurisprudenza; Data laurea: 24/10/2005; Struttura proponente: Giurisprudenza;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112140""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=5&offset=48,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112299&image=mini"",""Carl Ludwig von Bar"",""Carl Ludwig von Bar"",""Laurea conferita: Giurisprudenza"; Data laurea: 13/06/1888; Struttura proponente: Giurisprudenza;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112299""";;;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=5&offset=48,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=28199&image=mini"",""Aharon Barak"",""Aharon Barak"",""Fascicolo N.: 191"; Laurea conferita: Giurisprudenza; Data laurea: 18/05/2000; Struttura proponente: Giurisprudenza;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=28199""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=5&offset=48,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18175&image=mini"",""Eugenio Barba"",""Eugenio Barba"",""Fascicolo N.: 171"; Laurea conferita: Discipline delle Arti, Musica e Spettacolo; Data laurea: 06/11/1998; Struttura proponente: Lettere e Filosofia;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18175""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=5&offset=48,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18206&image=mini"",""Franco Barberi"",""Franco Barberi"",""Fascicolo N.: 65"; Laurea conferita: Fisica; Data laurea: 22/05/1989; Struttura proponente: Scienze Matematiche, Fisiche e Naturali;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18206""";;
